
Tempo:1410018.0346666668
Destinazione	 NEXTHOP	 Costo
=========================

Tempo:1410018.0346666668
Destinazione	 NEXTHOP	 Costo
1000	1029	147.30619795612267
1022	1029	147.54781302211404
1021	1029	156.08154146435234
1043	1029	1674.0533838932133
1020	1029	165.72833717055374
1042	1029	159.18067997995036
1041	1029	159.46910610722995
1040	1029	481.68529420624543
1019	1029	159.62142058621401
1018	1029	153.32501724533262
1017	1029	153.1802156237845
1039	1029	157.16393417878803
1016	1029	152.68259780631053
1038	1029	168.46615696061247
1015	1029	151.38597992834832
1037	1029	175.93124535801718
1014	1029	148.56319223741477
1036	1029	161.5894339895511
1013	1029	148.7835875798059
1035	1029	156.0738795366693
1012	1029	151.23028089572722
1034	1029	172.99375475906666
1011	1029	154.62421037540392
1033	1029	157.8955473154857
1010	1029	153.13359548604495
1032	1029	161.74687658754368
1031	1029	504.98556099139
1030	1029	163.98593966325993
1008	1029	157.1287438466822
1029	1029	1.0
1007	1029	154.4414765321713
1006	1029	641.3426546432585
1028	1029	162.67123928476622
1005	1029	148.69910063886272
1027	1029	146.01972057747065
1026	1029	172.59619571208847
1004	1029	158.16787402127778
1003	1029	5.737989551480282
1025	1029	146.80406764037676
1002	1029	147.4421210041242
1024	1029	155.53155203765812
1046	1029	182.95006610167295
1045	1029	146.0867196931227
1001	1029	147.4965531405309
1023	1029	161.16392749483745
1009	1029	147.68633518467405
=========================

Tempo:1410018.0346666668
Destinazione	 NEXTHOP	 Costo
1000	1046	8.629945204264583
1022	1046	8.218340291712526
1021	1046	17.40528871249427
1043	1046	1535.3771311413552
1020	1046	27.95621100341575
1042	1046	21.408553812812375
1041	1046	20.792853355371882
1040	1046	343.155072225531
1019	1046	20.94516783435593
1018	1046	14.648764493474543
1017	1046	15.408089456646522
1039	1046	19.39180801165003
1016	1046	13.457552401997502
1038	1046	30.69403079347448
1015	1046	12.160934524035294
1037	1046	38.15911919087921
1014	1046	9.886939485556695
1036	1046	23.817307822413138
1013	1046	10.177433407656554
1035	1046	18.301753369531312
1012	1046	12.005235491414194
1034	1046	34.317502007208574
1011	1046	16.852084208265936
1033	1046	19.219294563627606
1010	1046	15.361469318906966
1032	1046	23.9747504204057
1031	1046	366.30930823953184
1030	1046	25.37978549111058
1008	1046	18.52258967453284
1029	1029	1.0
1007	1046	15.216431127858257
1006	1046	502.6664018914003
1028	1046	23.99498653290815
1005	1046	10.022847887004637
1027	1046	7.343467825612571
1026	1046	33.99004153993911
1004	1046	18.942828616964768
1003	1029	5.737989551480282
1025	1046	9.031941473238767
1002	1046	8.765868252266111
1024	1046	16.855299285800022
1046	1046	7.061928006719159
1045	1046	7.752410466729005
1001	1046	8.820300388672807
1023	1046	23.391801327699483
1009	1046	9.010082432815958
=========================

Tempo:1415018.0346666668
Destinazione	 NEXTHOP	 Costo
1000	1046	8.629945204264583
1022	1046	8.218340291712526
1021	1046	17.40528871249427
1043	1046	1535.3771311413552
1020	1046	27.95621100341575
1042	1046	21.408553812812375
1041	1046	20.792853355371882
1040	1046	343.155072225531
1019	1046	20.94516783435593
1018	1046	14.648764493474543
1017	1046	15.408089456646522
1039	1046	19.39180801165003
