
Tempo:720018.0346666666
Destinazione	 NEXTHOP	 Costo
=========================

Tempo:720018.0346666666
Destinazione	 NEXTHOP	 Costo
=========================

Tempo:725018.0346666666
Destinazione	 NEXTHOP	 Costo
1022	1022	1.0
1000	1022	119.0109424895183
1011	1022	358.2153446958752
1010	1022	363.65766714371523
1021	1022	245.83473012514168
1020	1022	341.3058741836957
1019	1022	2199.011734947173
1008	1022	358.49277988367203
1018	1022	10.198590295942068
1007	1022	367.1391094800892
1017	1022	350.5644348831563
1006	1022	117.98645705536521
1016	1022	363.2984175460317
1005	1022	365.51177135203346
1015	1022	10.558354349208006
1004	1022	128.24647189865405
1014	1022	364.526790882636
1003	1022	118.64137159758488
1013	1022	369.0835638240546
1002	1022	351.60460905861305
1012	1022	743.6901746212811
1001	1022	125.55144772690767
1023	1022	238.02073930499682
1009	1022	814.1774665279443
=========================

Tempo:725018.0346666666
Destinazione	 NEXTHOP	 Costo
1022	1022	1.0
1000	1022	119.0109424895183
1011	1023	325.73224849082413
1010	1023	331.17457093866415
1021	1023	8.784478243946086
1020	1023	308.82277797864464
1019	1022	2199.011734947173
1008	1023	326.00968367862095
1018	1022	10.198590295942068
1007	1022	367.1391094800892
1017	1023	318.0813386781052
1006	1022	117.98645705536521
1016	1023	330.81532134098063
1005	1023	333.0286751469824
1015	1022	10.558354349208006
1004	1022	128.24647189865405
1014	1023	332.04369467758494
1003	1022	118.64137159758488
1013	1023	336.6004676190035
1002	1023	319.12151285356197
1012	1022	743.6901746212811
1001	1022	125.55144772690767
1023	1023	0.9704874238012259
1009	1022	814.1774665279443
=========================

Tempo:730018.0346666666
Destinazione	 NEXTHOP	 Costo
1022	1022	0.47515853374944783
1000	1022	118.48610102326775
1011	1023	325.73224849082413
1010	1023	331.17457093866415
1021	1023	8.784478243946086
1020	1023	308.82277797864464
1019	1022	2198.4868934809224
1008	1023	326.00968367862095
1018	1022	9.673748829691517
1007	1022	366.6142680138386
1017	1023	318.0813386781052
1006	1022	117.46161558911466
1016	1023	330.81532134098063
1005	1023	333.0286751469824
1015	1022	10.033512882957455
1004	1022	127.7216304324035
1014	1023	332.04369467758494
1003	1022	118.11653013133433
1013	1023	336.6004676190035
1002	1023	319.12151285356197
1012	1022	743.1653331550306
1001	1022	125.02660626065712
1023	1023	0.9704874238012259
1009	1022	813.6526250616937
=========================

Tempo:730018.0346666666
Destinazione	 NEXTHOP	 Costo
1022	1022	0.47515853374944783
1000	1022	118.48610102326775
1011	1023	325.73224849082413
1010	1023	331.17457093866415
1021	1023	8.784478243946086
1020	1023	308.82277797864464
1019	1022	2198.4868934809224
1008	1023	326.00968367862095
1018	1022	9.673748829691517
1007	1022	366.6142680138386
1017	1023	318.0813386781052
1006	1022	117.46161558911466
1016	1023	330.81532134098063
1005	1023	333.0286751469824
1015	1022	10.033512882957455
1004	1022	127.7216304324035
1014	1023	332.04369467758494
1003	1022	118.11653013133433
1013	1023	336.6004676190035
1002	1023	319.12151285356197
1012	1022	743.1653331550306
1001	1022	125.02660626065712
1023	1023	1.0524027275437646
1009	1022	813.6526250616937
=========================

Tempo:735018.0346666666
Destinazione	 NEXTHOP	 Costo
